[2016-12-09 19:56:30] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://localhost:8080/Magento2.0.2/admin/indexer/indexer/list/key/270c969d3a454050e43393a3e91cbff5ad150464aba2f2edfe7d30a67f1292f0/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2016-12-09 20:00:15] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:15] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:15] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV_ATTRIBUTE_4","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV_ATTRIBUTE_22","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2016-12-09 20:00:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost:8080/Magento2.0.2/admin/admin/system_config/save/section/customer/key/4c97becf5c80f7809edcd5cacfdbd4d9e104727667859d273b7265e578f9836d/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
